ubi,plot_id,trt,width,length,rep_till_per_sq_m,total_weight_kernels,total_weight_kernels_m2
plot29_01,WT10,W,3,7,437,4120,457.7777778
plot29_02,bx10,b,3,6,422,4294,477.1111111
plot29_03,WT09,W,3,5,392,4862,540.2222222
plot29_04,bx09,b,3,4,477,5463,607
plot29_05,WT08,W,3,3,421,5522,613.5555556
plot29_06,bx08,b,3,2,460,4790,532.2222222
plot29_07,WT07,W,3,1,481,5345,593.8888889
plot29_08,bx07,b,2,7,430,4147,460.7777778
plot29_09,WT06,W,2,6,440,4754,528.2222222
plot29_10,bx06,b,2,5,447,5113,568.1111111
plot29_11,WT05,W,2,4,416,4803,533.6666667
plot29_12,bx05,b,2,3,461,4561,506.7777778
plot29_13,WT04,W,2,2,518,5384,598.2222222
plot29_14,bx04,b,2,1,466,5321,591.2222222
plot29_15,WT03,W,1,7,367,4015,446.1111111
plot29_16,bx03,b,1,6,422,4685,520.5555556
plot29_17,WT02,W,1,5,443,5017,557.4444444
plot29_18,bx02,b,1,4,451,4870,541.1111111
plot29_19,WT01,W,1,3,435,5002,555.7777778
plot29_20,bx01,b,1,2,476,4778,530.8888889
