ubi,plot_id,trt,width,length,seq,oulema_sum,tillers_sum,oulema_per_til
plot29_01,WT10,W,3,7,1,5,173,0.028901734
plot29_02,bx10,b,3,6,2,5,161,0.031055901
plot29_03,WT9,W,3,5,3,5,196,0.025510204
plot29_04,bx9,b,3,4,4,12,217,0.055299539
plot29_05,WT8,W,3,3,5,12,212,0.056603774
plot29_06,bx8,b,3,2,6,7,177,0.039548023
plot29_07,WT7,W,3,1,7,7,217,0.032258065
plot29_08,bx7,b,2,7,8,4,188,0.021276596
plot29_09,WT6,W,2,6,9,3,183,0.016393443
plot29_10,bx6,b,2,5,10,1,195,0.005128205
plot29_11,WT5,W,2,4,11,8,176,0.045454545
plot29_12,bx5,b,2,3,12,6,188,0.031914894
plot29_13,WT4,W,2,2,13,2,215,0.009302326
plot29_14,bx4,b,2,1,14,3,197,0.015228426
plot29_15,WT3,W,1,7,15,2,172,0.011627907
plot29_16,bx3,b,1,6,16,2,156,0.012820513
plot29_17,WT2,W,1,5,17,5,189,0.026455026
plot29_18,bx2,b,1,4,18,1,172,0.005813953
plot29_19,WT1,W,1,3,19,5,166,0.030120482
plot29_20,bx1,b,1,2,20,0,179,0
