ubi,plot_id,trt,width,length,mean_totBM_g_m2,weight_per_head
plot29_01,WT10,W,3,7,1475,3.160714286
plot29_02,bx10,b,3,6,1538.333333,3.273049645
plot29_03,WT09,W,3,5,1045,3.231958763
plot29_04,bx09,b,3,4,1408.333333,3.550420168
plot29_05,WT08,W,3,3,1025,2.928571429
plot29_06,bx08,b,3,2,1205,3.143478261
plot29_07,WT07,W,3,1,1271.666667,3.317391304
plot29_08,bx07,b,2,7,1446.666667,3.557377049
plot29_09,WT06,W,2,6,1475,3.253676471
plot29_10,bx06,b,2,5,1350,3.461538462
plot29_11,WT05,W,2,4,1371.666667,3.21484375
plot29_12,bx05,b,2,3,1505,3.319852941
plot29_13,WT04,W,2,2,1686.666667,3.202531646
plot29_14,bx04,b,2,1,1580,3.434782609
plot29_15,WT03,W,1,7,1150,3.59375
plot29_16,bx03,b,1,6,1381.666667,3.28968254
plot29_17,WT02,W,1,5,1343.333333,3.474137931
plot29_18,bx02,b,1,4,1460,3.395348837
plot29_19,WT01,W,1,3,1215,3.406542056
plot29_20,bx01,b,1,2,1378.333333,3.389344262
