plot_id,trt,width,length,Number_of_seedlings_3m,num_seedlings_m2
bx01,b,1,2,154,342.2222222
bx10,b,3,6,142,315.5555556
bx02,b,1,4,117,260
bx03,b,1,6,141,313.3333333
bx04,b,2,1,156,346.6666667
bx05,b,2,3,139,308.8888889
bx06,b,2,5,118,262.2222222
bx07,b,2,7,127,282.2222222
bx08,b,3,2,145,322.2222222
bx09,b,3,4,110,244.4444444
WT01,W,1,3,121,268.8888889
WT10,W,3,7,148,328.8888889
WT02,W,1,5,142,315.5555556
WT03,W,1,7,144,320
WT04,W,2,2,135,300
WT05,W,2,4,121,268.8888889
WT06,W,2,6,144,320
WT07,W,3,1,151,335.5555556
WT08,W,3,3,120,266.6666667
WT09,W,3,5,126,280
