"pot_id","soil_origin","dw_shoots","dw_roots","DIMBOA_Glc","HMBOA","DIMBOA","HDMBOA_Glc","MBOA"
"low_0.4_01","South",664,391,4494.3,536.2,6733.3,611.3,24.4
"low_0.4_02","South",NA,NA,NA,NA,NA,NA,NA
"low_0.4_03","South",588,353,1511.8,198.4,1877.6,506.7,17.5
"low_0.4_04","South",590,413,4151.6,256.8,3208,558.6,21
"low_0.4_05","South",377,317,3671.5,506,7248.3,504.2,48.4
"low_0.4_06","South",365,338,575,139.2,1208.5,221.7,16.8
"low_0.4_07","South",397,273,1461.7,478.3,4077.8,459.2,80.2
"low_0.4_08","South",458,396,1024.6,234.7,2088.7,513.9,26.2
"low_0.4_09","South",613,347,257.5,28.9,226.9,147.5,3.6
"low_0.4_10","South",465,330,2473.1,294.3,5165.2,652,48.1
"high_0.4_01","North",424,454,469,279.8,1863.4,117.3,16.4
"high_0.4_02","North",402,414,1789.6,634.9,6238.8,91.3,51.4
"high_0.4_03","North",397,378,3703.3,396.1,2966.5,654.8,56
"high_0.4_04","North",436,406,2294,522.1,4421.4,132.9,83.4
"high_0.4_05","North",426,390,2175.5,374,2484,641.5,47.3
"high_0.4_06","North",405,344,1263.7,75.2,443.6,654,11.3
"high_0.4_07","North",449,317,3451.9,280.6,1955.7,1188.7,63.6
"high_0.4_08","North",361,243,2893.9,401,1230.9,993.7,146.6
"high_0.4_09","North",536,349,1904.5,257.9,2663.5,417,37.7
"high_0.4_10","North",468,339,1043.6,123.6,627.8,750.4,23.8
