"Name","pot_id","soil_origin","dw_shoots","dw_roots","DIMBOA_Glc","HMBOA","DIMBOA","HDMBOA_Glc","MBOA","AMPO"
"20220112_MH_VG_Exp_02_fert_soil_41","low_0.4_01","South",664,391,562.9,615.3,471.6,451.9,482.3,1.7
NA,"low_0.4_02","South",NA,NA,NA,NA,NA,NA,NA,NA
"20220112_MH_VG_Exp_02_fert_soil_43","low_0.4_03","South",588,353,426.9,541.6,380.8,175.4,380.3,NA
"20220112_MH_VG_Exp_02_fert_soil_44","low_0.4_04","South",590,413,454.8,525.2,362.4,118.3,360.9,NA
"20220112_MH_VG_Exp_02_fert_soil_45","low_0.4_05","South",377,317,505.9,591.7,400.3,242.1,384.6,NA
"20220112_MH_VG_Exp_02_fert_soil_46","low_0.4_06","South",365,338,485.1,740.8,339.3,279.8,464.6,1.7
"20220112_MH_VG_Exp_02_fert_soil_47","low_0.4_07","South",397,273,566.1,653.5,550,197.3,631.8,1.8
"20220112_MH_VG_Exp_02_fert_soil_48","low_0.4_08","South",458,396,403.3,454.7,298.2,223.8,388,1.7
"20220112_MH_VG_Exp_02_fert_soil_49","low_0.4_09","South",613,347,648.6,580.3,460.8,506.4,618.9,1.7
"20220112_MH_VG_Exp_02_fert_soil_50","low_0.4_10","South",465,330,541,512.2,371.1,331.9,486.6,NA
"20220112_MH_VG_Exp_02_fert_soil_61","high_0.4_01","North",424,454,50.2,132.6,33.6,160.2,419.8,2.1
"20220112_MH_VG_Exp_02_fert_soil_62","high_0.4_02","North",402,414,47.3,217.4,34.5,202.1,746.5,1.9
"20220112_MH_VG_Exp_02_fert_soil_63","high_0.4_03","North",397,378,44.2,262.5,102.5,197.8,601.7,2.5
"20220112_MH_VG_Exp_02_fert_soil_64","high_0.4_04","North",436,406,136.1,299.9,115.9,175,933.9,3.1
"20220112_MH_VG_Exp_02_fert_soil_65","high_0.4_05","North",426,390,101.8,223.5,78.6,154.3,513.8,2.2
"20220112_MH_VG_Exp_02_fert_soil_66","high_0.4_06","North",405,344,65.1,322.1,51.1,237.5,1674.4,2.5
"20220112_MH_VG_Exp_02_fert_soil_67","high_0.4_07","North",449,317,38.5,319.2,39.4,228.7,1755.4,3
"20220112_MH_VG_Exp_02_fert_soil_68","high_0.4_08","North",361,243,55.7,201.6,18,170.6,1166.6,2.4
"20220112_MH_VG_Exp_02_fert_soil_69","high_0.4_09","North",536,349,36.1,343.8,35.1,243.5,1293.6,2.3
"20220112_MH_VG_Exp_02_fert_soil_70","high_0.4_10","North",468,339,46.2,297.4,27.4,336.7,1434.4,2.3
